ID;WAARDELIJSTID;CODE;WAARDE;VANAF;TOT;TOELICHTING
1599;4;2645;Gelderswoude;2009-06-01;;http://bag.basisregistraties.overheid.nl/bag/id/woonplaats/2645
1600;4;2646;Oisterwijk;2009-07-02;;http://bag.basisregistraties.overheid.nl/bag/id/woonplaats/2646
1601;4;2647;Moergestel;2009-07-02;;http://bag.basisregistraties.overheid.nl/bag/id/woonplaats/2647
1602;4;2648;Heukelom;2009-07-02;;http://bag.basisregistraties.overheid.nl/bag/id/woonplaats/2648
1603;4;2649;Kerkrade;2015-05-29;;http://bag.basisregistraties.overheid.nl/bag/id/woonplaats/2649
1604;4;2650;Eygelshoven;2015-05-29;;http://bag.basisregistraties.overheid.nl/bag/id/woonplaats/2650
1605;4;2651;Vogelenzang;2008-10-16;;http://bag.basisregistraties.overheid.nl/bag/id/woonplaats/2651
1606;4;2652;Aerdenhout;2017-05-18;;http://bag.basisregistraties.overheid.nl/bag/id/woonplaats/2652
1607;4;2653;Overveen;2008-10-16;;http://bag.basisregistraties.overheid.nl/bag/id/woonplaats/2653
1608;4;2654;Bloemendaal;2008-10-16;;http://bag.basisregistraties.overheid.nl/bag/id/woonplaats/2654
1609;4;2655;De Lier;2009-06-10;;http://bag.basisregistraties.overheid.nl/bag/id/woonplaats/2655
1610;4;2656;Honselersdijk;2017-05-30;;http://bag.basisregistraties.overheid.nl/bag/id/woonplaats/2656
1611;4;2657;Kwintsheul;2017-05-30;;http://bag.basisregistraties.overheid.nl/bag/id/woonplaats/2657
1612;4;2658;Maasdijk;2009-06-10;;http://bag.basisregistraties.overheid.nl/bag/id/woonplaats/2658
1613;4;2659;Monster;2009-06-10;;http://bag.basisregistraties.overheid.nl/bag/id/woonplaats/2659
1614;4;2660;Naaldwijk;2017-05-30;;http://bag.basisregistraties.overheid.nl/bag/id/woonplaats/2660
1615;4;2661;Poeldijk;2009-06-10;;http://bag.basisregistraties.overheid.nl/bag/id/woonplaats/2661
1616;4;2662;'s-Gravenzande;2009-06-10;;http://bag.basisregistraties.overheid.nl/bag/id/woonplaats/2662
