ID;WAARDELIJSTID;CODE;WAARDE;VANAF;TOT;TOELICHTING
1;1;1;Beklemrecht;2011-01-01;;
2;1;2;Eigendom (recht van);2011-01-01;;
3;1;3;Erfpacht (recht van);2011-01-01;;
4;1;4;Gebruik en bewoning (recht van);2011-01-01;;
5;1;5;Grondrente (recht van);2011-01-01;;
6;1;6;Huurrecht (zakelijk);2011-01-01;;* alleen voor luchtvaartuigen
7;1;7;Opstal (recht van);2011-01-01;;
8;1;8;Optierecht (zakelijk);2011-01-01;;* alleen voor luchtvaartuigen
9;1;9;Oud-vaderlandsrecht;2011-01-01;;
10;1;10;Zakelijk recht als bedoeld in artikel 5,lid 3,onder b,van de Belemmeringenwet Privaatrecht;2011-01-01;2018-09-01;
11;1;11;Stadsmeierrecht;2011-01-01;;
12;1;12;Vruchtgebruik (recht van);2011-01-01;;
13;1;13;Erfpacht en Opstal (recht van);2011-01-01;;
14;1;14;Opstalrecht Nutsvoorzieningen;2011-01-01;;
15;1;15;Eigendom Telecommunicatienetwerk;2011-01-01;2012-01-01;Wordt niet meer geregistreerd en is geschoond in AKR
16;1;16;Erfpachtrecht Telecommunicatienetwerk;2011-01-01;2012-01-01;Wordt niet meer geregistreerd en is geschoond in AKR
17;1;17;Vruchtgebruik Telecommunicatienetwerk;2011-01-01;2012-01-01;Wordt niet meer geregistreerd en is geschoond in AKR
18;1;18;Raadpleeg brondocument;2011-01-01;;
19;1;19;Voorrecht;2011-01-01;;* alleen voor schepen
20;1;20;Zakelijk recht na twee of meer zakelijke belastingen;2011-01-01;2018-09-01;
21;1;21;Zakelijke belasting derde of volgende;2011-01-01;2018-09-01;
22;1;22;BP-recht;2011-01-01;2017-08-01;
23;1;23;Opstalrecht Nutsvoorzieningen op gedeelte van perceel;2016-03-09;;
24;1;24;Zakelijk recht als bedoeld in artikel 5,lid 3,onder b,van de Belemmeringenwet Privaatrecht op gedeelte van perceel;2016-07-01;2018-09-01;
25;2;1;Verblijfsobject;2009-07-01;;
26;2;2;Standplaats;2009-07-01;;
27;2;3;Ligplaats;2009-07-01;;
28;3;1;Weg;2009-07-01;;
29;3;2;Water;2009-07-01;;
30;3;3;Spoorbaan;2009-07-01;;
31;3;4;Terrein;2009-07-01;;
32;3;5;Kunstwerk;2009-07-01;;
33;3;6;Landschappelijk gebied;2009-07-01;;
34;3;7;Administratief gebied;2009-07-01;;
35;4;1000;Hoogerheide;2010-04-06;;http://bag.basisregistraties.overheid.nl/bag/id/woonplaats/1000
36;4;1001;Huijbergen;2010-04-06;;http://bag.basisregistraties.overheid.nl/bag/id/woonplaats/1001
37;4;1002;Ossendrecht;2010-04-06;;http://bag.basisregistraties.overheid.nl/bag/id/woonplaats/1002
38;4;1003;Putte;2010-04-06;;http://bag.basisregistraties.overheid.nl/bag/id/woonplaats/1003
39;4;1004;Woensdrecht;2010-04-06;;http://bag.basisregistraties.overheid.nl/bag/id/woonplaats/1004
40;4;1005;Gouda;2006-12-10;;http://bag.basisregistraties.overheid.nl/bag/id/woonplaats/1005
41;4;1006;Waalre;2006-11-14;;http://bag.basisregistraties.overheid.nl/bag/id/woonplaats/1006
42;4;1007;Middelburg;2006-04-24;;http://bag.basisregistraties.overheid.nl/bag/id/woonplaats/1007
43;4;1008;Arnemuiden;2006-04-24;;http://bag.basisregistraties.overheid.nl/bag/id/woonplaats/1008
44;4;1009;Nieuw- en Sint Joosland;2006-04-24;;http://bag.basisregistraties.overheid.nl/bag/id/woonplaats/1009
45;4;1010;Etten-Leur;2007-01-01;;http://bag.basisregistraties.overheid.nl/bag/id/woonplaats/1010
46;4;1011;Huizen;2008-09-18;;http://bag.basisregistraties.overheid.nl/bag/id/woonplaats/1011
47;4;1013;Soest;2007-01-16;;http://bag.basisregistraties.overheid.nl/bag/id/woonplaats/1013
48;4;1014;Soesterberg;2007-01-16;;http://bag.basisregistraties.overheid.nl/bag/id/woonplaats/1014
49;4;1015;Vlaardingen;2007-01-30;;http://bag.basisregistraties.overheid.nl/bag/id/woonplaats/1015
50;4;1016;Nieuwerkerk aan den IJssel;2007-03-27;;http://bag.basisregistraties.overheid.nl/bag/id/woonplaats/1016
51;4;1017;Foxhol;2010-07-08;;http://bag.basisregistraties.overheid.nl/bag/id/woonplaats/1017
52;4;1018;Hoogezand;2010-07-08;;http://bag.basisregistraties.overheid.nl/bag/id/woonplaats/1018
53;4;1019;Kiel-Windeweer;2010-07-08;;http://bag.basisregistraties.overheid.nl/bag/id/woonplaats/1019
54;4;1020;Kropswolde;2010-07-08;;http://bag.basisregistraties.overheid.nl/bag/id/woonplaats/1020
55;4;1021;Sappemeer;2010-07-08;;http://bag.basisregistraties.overheid.nl/bag/id/woonplaats/1021
56;4;1022;Waterhuizen;2010-07-08;;http://bag.basisregistraties.overheid.nl/bag/id/woonplaats/1022
57;4;1023;Westerbroek;2010-07-08;;http://bag.basisregistraties.overheid.nl/bag/id/woonplaats/1023
58;4;1026;America;2007-02-06;;http://bag.basisregistraties.overheid.nl/bag/id/woonplaats/1026
59;4;1027;Broekhuizen;2007-02-06;;http://bag.basisregistraties.overheid.nl/bag/id/woonplaats/1027
60;4;1028;Broekhuizenvorst;2007-02-06;;http://bag.basisregistraties.overheid.nl/bag/id/woonplaats/1028
61;4;1029;Griendtsveen;2007-02-06;;http://bag.basisregistraties.overheid.nl/bag/id/woonplaats/1029
62;4;1030;Grubbenvorst;2007-02-06;;http://bag.basisregistraties.overheid.nl/bag/id/woonplaats/1030
63;4;1031;Hegelsom;2010-11-23;;http://bag.basisregistraties.overheid.nl/bag/id/woonplaats/1031
64;4;1032;Horst;2007-02-06;;http://bag.basisregistraties.overheid.nl/bag/id/woonplaats/1032
65;4;1033;Lottum;2007-02-06;;http://bag.basisregistraties.overheid.nl/bag/id/woonplaats/1033
66;4;1034;Melderslo;2007-02-06;;http://bag.basisregistraties.overheid.nl/bag/id/woonplaats/1034
67;4;1035;Meterik;2010-11-23;;http://bag.basisregistraties.overheid.nl/bag/id/woonplaats/1035
68;4;1036;Hilversum;2007-04-11;;http://bag.basisregistraties.overheid.nl/bag/id/woonplaats/1036
69;4;1037;Eemnes;2007-04-10;;http://bag.basisregistraties.overheid.nl/bag/id/woonplaats/1037
70;4;1038;Daarle;2007-06-19;;http://bag.basisregistraties.overheid.nl/bag/id/woonplaats/1038
71;4;1039;Daarlerveen;2007-06-19;;http://bag.basisregistraties.overheid.nl/bag/id/woonplaats/1039
72;4;1040;Haarle;2007-06-19;;http://bag.basisregistraties.overheid.nl/bag/id/woonplaats/1040
73;4;1043;Tilburg;2015-11-11;;http://bag.basisregistraties.overheid.nl/bag/id/woonplaats/1043
74;4;1044;Berkel-Enschot;2015-11-11;;http://bag.basisregistraties.overheid.nl/bag/id/woonplaats/1044
75;4;1045;Udenhout;2015-11-11;;http://bag.basisregistraties.overheid.nl/bag/id/woonplaats/1045
76;4;1046;Staphorst;2005-06-14;;http://bag.basisregistraties.overheid.nl/bag/id/woonplaats/1046
77;4;1047;Rouveen;2005-06-14;;http://bag.basisregistraties.overheid.nl/bag/id/woonplaats/1047
78;4;1048;IJhorst;2005-06-14;;http://bag.basisregistraties.overheid.nl/bag/id/woonplaats/1048
79;4;1049;Punthorst;2005-06-14;;http://bag.basisregistraties.overheid.nl/bag/id/woonplaats/1049
80;4;1050;Amstelveen;2007-05-30;;http://bag.basisregistraties.overheid.nl/bag/id/woonplaats/1050
81;4;1051;Lelystad;2006-12-19;;http://bag.basisregistraties.overheid.nl/bag/id/woonplaats/1051
82;4;1052;Naarden;2007-01-01;;http://bag.basisregistraties.overheid.nl/bag/id/woonplaats/1052
83;4;1053;Andijk;2007-06-12;;http://bag.basisregistraties.overheid.nl/bag/id/woonplaats/1053
84;4;1056;Kootwijkerbroek;2007-04-01;;http://bag.basisregistraties.overheid.nl/bag/id/woonplaats/1056
85;4;1057;Garderen;2007-04-01;;http://bag.basisregistraties.overheid.nl/bag/id/woonplaats/1057
86;4;1059;Stroe;2007-04-01;;http://bag.basisregistraties.overheid.nl/bag/id/woonplaats/1059
87;4;1061;De Glind;2007-04-01;;http://bag.basisregistraties.overheid.nl/bag/id/woonplaats/1061
88;4;1062;Kootwijk;2007-04-01;;http://bag.basisregistraties.overheid.nl/bag/id/woonplaats/1062
89;4;1063;Achterveld;2007-04-01;;http://bag.basisregistraties.overheid.nl/bag/id/woonplaats/1063
90;4;1064;Bladel;2007-12-01;;http://bag.basisregistraties.overheid.nl/bag/id/woonplaats/1064
91;4;1065;Hapert;2007-12-01;;http://bag.basisregistraties.overheid.nl/bag/id/woonplaats/1065
92;4;1066;Hoogeloon;2007-12-01;;http://bag.basisregistraties.overheid.nl/bag/id/woonplaats/1066
93;4;1067;Casteren;2007-12-01;;http://bag.basisregistraties.overheid.nl/bag/id/woonplaats/1067
94;4;1068;Netersel;2007-12-01;;http://bag.basisregistraties.overheid.nl/bag/id/woonplaats/1068
95;4;1069;Maassluis;2007-05-22;;http://bag.basisregistraties.overheid.nl/bag/id/woonplaats/1069
96;4;1070;Groningen;2016-12-01;;http://bag.basisregistraties.overheid.nl/bag/id/woonplaats/1070
97;4;1071;Woerden;2014-09-03;;http://bag.basisregistraties.overheid.nl/bag/id/woonplaats/1071
98;4;1072;Harmelen;2014-09-03;;http://bag.basisregistraties.overheid.nl/bag/id/woonplaats/1072
99;4;1073;Kamerik;2014-09-03;;http://bag.basisregistraties.overheid.nl/bag/id/woonplaats/1073
100;4;1074;Zegveld;2014-09-03;;http://bag.basisregistraties.overheid.nl/bag/id/woonplaats/1074
101;4;1075;Zeewolde;2007-03-28;;http://bag.basisregistraties.overheid.nl/bag/id/woonplaats/1075
102;4;1076;Oost-Souburg;2009-01-01;;http://bag.basisregistraties.overheid.nl/bag/id/woonplaats/1076
103;4;1077;Ritthem;2016-03-29;;http://bag.basisregistraties.overheid.nl/bag/id/woonplaats/1077
104;4;1078;Vlissingen;2016-03-29;;http://bag.basisregistraties.overheid.nl/bag/id/woonplaats/1078
105;4;1079;Aarlanderveen;2013-05-24;;http://bag.basisregistraties.overheid.nl/bag/id/woonplaats/1079
106;4;1080;Alphen aan den Rijn;2013-05-24;;http://bag.basisregistraties.overheid.nl/bag/id/woonplaats/1080
107;4;1081;Zwammerdam;2010-04-12;;http://bag.basisregistraties.overheid.nl/bag/id/woonplaats/1081
108;4;1082;Meppel;1998-09-10;;http://bag.basisregistraties.overheid.nl/bag/id/woonplaats/1082
109;4;1083;Nijeveen;1998-09-10;;http://bag.basisregistraties.overheid.nl/bag/id/woonplaats/1083
110;4;1084;Rogat;1998-09-10;;http://bag.basisregistraties.overheid.nl/bag/id/woonplaats/1084
111;4;1085;De Schiphorst;1998-09-10;;http://bag.basisregistraties.overheid.nl/bag/id/woonplaats/1085
112;4;1086;Broekhuizen;1998-09-10;;http://bag.basisregistraties.overheid.nl/bag/id/woonplaats/1086
113;4;1087;Wierden;2008-01-01;;http://bag.basisregistraties.overheid.nl/bag/id/woonplaats/1087
114;4;1088;Enter;2008-01-01;;http://bag.basisregistraties.overheid.nl/bag/id/woonplaats/1088
115;4;1089;Hoge Hexel;2008-01-01;;http://bag.basisregistraties.overheid.nl/bag/id/woonplaats/1089
116;4;1090;Notter;2008-01-01;;http://bag.basisregistraties.overheid.nl/bag/id/woonplaats/1090
117;4;1091;Zuna;2008-01-01;;http://bag.basisregistraties.overheid.nl/bag/id/woonplaats/1091
118;4;1092;Baarn;2007-07-18;;http://bag.basisregistraties.overheid.nl/bag/id/woonplaats/1092
119;4;1093;Lage Vuursche;2007-07-18;;http://bag.basisregistraties.overheid.nl/bag/id/woonplaats/1093
120;4;1094;Dodewaard;2007-06-19;;http://bag.basisregistraties.overheid.nl/bag/id/woonplaats/1094
121;4;1096;Kesteren;2007-06-19;;http://bag.basisregistraties.overheid.nl/bag/id/woonplaats/1096
122;4;1097;Ochten;2007-06-19;;http://bag.basisregistraties.overheid.nl/bag/id/woonplaats/1097
123;4;1098;Opheusden;2007-06-19;;http://bag.basisregistraties.overheid.nl/bag/id/woonplaats/1098
124;4;1099;IJzendoorn;2007-06-19;;http://bag.basisregistraties.overheid.nl/bag/id/woonplaats/1099
125;4;1100;Valkenswaard;2016-02-16;;http://bag.basisregistraties.overheid.nl/bag/id/woonplaats/1100
126;4;1101;Eindhoven;2017-03-16;;http://bag.basisregistraties.overheid.nl/bag/id/woonplaats/1101
127;4;1102;Bovenkarspel;2005-05-24;;http://bag.basisregistraties.overheid.nl/bag/id/woonplaats/1102
128;4;1103;Grootebroek;2005-05-24;;http://bag.basisregistraties.overheid.nl/bag/id/woonplaats/1103
129;4;1104;Lutjebroek;2005-05-24;;http://bag.basisregistraties.overheid.nl/bag/id/woonplaats/1104
130;4;1105;Capelle aan den IJssel;2007-05-29;;http://bag.basisregistraties.overheid.nl/bag/id/woonplaats/1105
131;4;1107;Zwaagdijk-Oost;2011-11-15;;http://bag.basisregistraties.overheid.nl/bag/id/woonplaats/1107
132;4;1108;Nieuwegein;2007-05-07;;http://bag.basisregistraties.overheid.nl/bag/id/woonplaats/1108
133;4;1109;Empe;2006-01-26;;http://bag.basisregistraties.overheid.nl/bag/id/woonplaats/1109
134;4;1110;Tonden;2006-01-26;;http://bag.basisregistraties.overheid.nl/bag/id/woonplaats/1110
135;4;1111;Brummen;2006-01-26;;http://bag.basisregistraties.overheid.nl/bag/id/woonplaats/1111
136;4;1112;Leuvenheim;2006-01-26;;http://bag.basisregistraties.overheid.nl/bag/id/woonplaats/1112
137;4;1113;Hall;2006-01-26;;http://bag.basisregistraties.overheid.nl/bag/id/woonplaats/1113
138;4;1114;Eerbeek;2006-01-26;;http://bag.basisregistraties.overheid.nl/bag/id/woonplaats/1114
139;4;1115;Sint Pancras;2007-10-23;;http://bag.basisregistraties.overheid.nl/bag/id/woonplaats/1115
140;4;1116;Broek op Langedijk;2007-10-23;;http://bag.basisregistraties.overheid.nl/bag/id/woonplaats/1116
141;4;1117;Zuid-Scharwoude;2007-10-23;;http://bag.basisregistraties.overheid.nl/bag/id/woonplaats/1117
142;4;1118;Noord-Scharwoude;2007-10-23;;http://bag.basisregistraties.overheid.nl/bag/id/woonplaats/1118
143;4;1119;Oudkarspel;2007-10-23;;http://bag.basisregistraties.overheid.nl/bag/id/woonplaats/1119
144;4;1120;Koedijk;2007-10-23;;http://bag.basisregistraties.overheid.nl/bag/id/woonplaats/1120
145;4;1121;Bergen L;2010-01-01;;http://bag.basisregistraties.overheid.nl/bag/id/woonplaats/1121
146;4;1122;Afferden L;2010-01-01;;http://bag.basisregistraties.overheid.nl/bag/id/woonplaats/1122
147;4;1123;Siebengewald;2010-01-01;;http://bag.basisregistraties.overheid.nl/bag/id/woonplaats/1123
148;4;1124;Well L;2010-01-01;;http://bag.basisregistraties.overheid.nl/bag/id/woonplaats/1124
149;4;1125;Wellerlooi;2010-01-01;;http://bag.basisregistraties.overheid.nl/bag/id/woonplaats/1125
150;4;1126;Geldrop;2007-09-25;;http://bag.basisregistraties.overheid.nl/bag/id/woonplaats/1126
151;4;1127;Mierlo;2007-09-25;;http://bag.basisregistraties.overheid.nl/bag/id/woonplaats/1127
152;4;1128;Axel;2004-10-21;;http://bag.basisregistraties.overheid.nl/bag/id/woonplaats/1128
153;4;1129;Biervliet;2004-10-21;;http://bag.basisregistraties.overheid.nl/bag/id/woonplaats/1129
154;4;1130;Hoek;2017-01-17;;http://bag.basisregistraties.overheid.nl/bag/id/woonplaats/1130
155;4;1131;Koewacht;2004-10-21;;http://bag.basisregistraties.overheid.nl/bag/id/woonplaats/1131
156;4;1132;Overslag;2004-10-21;;http://bag.basisregistraties.overheid.nl/bag/id/woonplaats/1132
157;4;1133;Philippine;2004-10-21;;http://bag.basisregistraties.overheid.nl/bag/id/woonplaats/1133
158;4;1134;Sas van Gent;2004-10-21;;http://bag.basisregistraties.overheid.nl/bag/id/woonplaats/1134
159;4;1135;Sluiskil;2016-04-05;;http://bag.basisregistraties.overheid.nl/bag/id/woonplaats/1135
160;4;1136;Spui;2004-10-21;;http://bag.basisregistraties.overheid.nl/bag/id/woonplaats/1136
161;4;1137;Terneuzen;2017-01-17;;http://bag.basisregistraties.overheid.nl/bag/id/woonplaats/1137
162;4;1138;Westdorpe;2004-10-21;;http://bag.basisregistraties.overheid.nl/bag/id/woonplaats/1138
163;4;1139;Zaamslag;2004-10-21;;http://bag.basisregistraties.overheid.nl/bag/id/woonplaats/1139
164;4;1140;Zuiddorpe;2004-10-21;;http://bag.basisregistraties.overheid.nl/bag/id/woonplaats/1140
165;4;1141;Pijnacker;2008-04-01;;http://bag.basisregistraties.overheid.nl/bag/id/woonplaats/1141
166;4;1142;Nootdorp;2013-03-27;;http://bag.basisregistraties.overheid.nl/bag/id/woonplaats/1142
167;4;1143;Delfgauw;2008-04-01;;http://bag.basisregistraties.overheid.nl/bag/id/woonplaats/1143
168;4;1144;Krimpen aan den IJssel;2007-09-27;;http://bag.basisregistraties.overheid.nl/bag/id/woonplaats/1144
169;4;1145;Enschede;2007-10-01;;http://bag.basisregistraties.overheid.nl/bag/id/woonplaats/1145
170;4;1146;Helmond;2011-04-05;;http://bag.basisregistraties.overheid.nl/bag/id/woonplaats/1146
171;4;1147;Amen;2007-11-13;;http://bag.basisregistraties.overheid.nl/bag/id/woonplaats/1147
172;4;1148;Anderen;2007-11-13;;http://bag.basisregistraties.overheid.nl/bag/id/woonplaats/1148
173;4;1149;Anloo;2007-11-13;;http://bag.basisregistraties.overheid.nl/bag/id/woonplaats/1149
174;4;1150;Annen;2007-11-13;;http://bag.basisregistraties.overheid.nl/bag/id/woonplaats/1150
175;4;1151;Annerveenschekanaal;2007-11-13;;http://bag.basisregistraties.overheid.nl/bag/id/woonplaats/1151
176;4;1152;Balloo;2007-11-13;;http://bag.basisregistraties.overheid.nl/bag/id/woonplaats/1152
177;4;1153;Balloërveld;2007-11-13;;http://bag.basisregistraties.overheid.nl/bag/id/woonplaats/1153
178;4;1154;Deurze;2007-11-13;;http://bag.basisregistraties.overheid.nl/bag/id/woonplaats/1154
179;4;1155;Eext;2007-11-13;;http://bag.basisregistraties.overheid.nl/bag/id/woonplaats/1155
180;4;1156;Eexterveen;2007-11-13;;http://bag.basisregistraties.overheid.nl/bag/id/woonplaats/1156
181;4;1157;Eexterveenschekanaal;2007-11-13;;http://bag.basisregistraties.overheid.nl/bag/id/woonplaats/1157
182;4;1158;Eexterzandvoort;2007-11-13;;http://bag.basisregistraties.overheid.nl/bag/id/woonplaats/1158
183;4;1159;Ekehaar;2007-11-13;;http://bag.basisregistraties.overheid.nl/bag/id/woonplaats/1159
184;4;1160;Eldersloo;2007-11-13;;http://bag.basisregistraties.overheid.nl/bag/id/woonplaats/1160
185;4;1161;Eleveld;2007-11-13;;http://bag.basisregistraties.overheid.nl/bag/id/woonplaats/1161
186;4;1162;Gasselte;2007-11-13;;http://bag.basisregistraties.overheid.nl/bag/id/woonplaats/1162
187;4;1163;Gasselternijveen;2007-11-13;;http://bag.basisregistraties.overheid.nl/bag/id/woonplaats/1163
188;4;1164;Gasselternijveenschemond;2007-11-13;;http://bag.basisregistraties.overheid.nl/bag/id/woonplaats/1164
189;4;1165;Gasteren;2007-11-13;;http://bag.basisregistraties.overheid.nl/bag/id/woonplaats/1165
190;4;1166;Geelbroek;2007-11-13;;http://bag.basisregistraties.overheid.nl/bag/id/woonplaats/1166
191;4;1167;Gieten;2007-11-13;;http://bag.basisregistraties.overheid.nl/bag/id/woonplaats/1167
192;4;1168;Gieterveen;2007-11-13;;http://bag.basisregistraties.overheid.nl/bag/id/woonplaats/1168
193;4;1169;Grolloo;2007-11-13;;http://bag.basisregistraties.overheid.nl/bag/id/woonplaats/1169
194;4;1170;Marwijksoord;2007-11-13;;http://bag.basisregistraties.overheid.nl/bag/id/woonplaats/1170
195;4;1171;Nieuw Annerveen;2007-11-13;;http://bag.basisregistraties.overheid.nl/bag/id/woonplaats/1171
196;4;1172;Nieuwediep;2007-11-13;;http://bag.basisregistraties.overheid.nl/bag/id/woonplaats/1172
197;4;1173;Nijlande;2007-11-13;;http://bag.basisregistraties.overheid.nl/bag/id/woonplaats/1173
198;4;1174;Nooitgedacht;2007-11-13;;http://bag.basisregistraties.overheid.nl/bag/id/woonplaats/1174
199;4;1175;Oud Annerveen;2007-11-13;;http://bag.basisregistraties.overheid.nl/bag/id/woonplaats/1175
200;4;1176;Papenvoort;2007-11-13;;http://bag.basisregistraties.overheid.nl/bag/id/woonplaats/1176
201;4;1177;Rolde;2007-11-13;;http://bag.basisregistraties.overheid.nl/bag/id/woonplaats/1177
202;4;1178;Schipborg;2007-11-13;;http://bag.basisregistraties.overheid.nl/bag/id/woonplaats/1178
203;4;1179;Schoonloo;2007-11-13;;http://bag.basisregistraties.overheid.nl/bag/id/woonplaats/1179
204;4;1180;Spijkerboor;2007-11-13;;http://bag.basisregistraties.overheid.nl/bag/id/woonplaats/1180
205;4;1181;Vredenheim;2007-11-13;;http://bag.basisregistraties.overheid.nl/bag/id/woonplaats/1181
206;4;1182;Zwolle;2004-04-01;;http://bag.basisregistraties.overheid.nl/bag/id/woonplaats/1182
207;4;1183;Avenhorn;2011-03-08;;http://bag.basisregistraties.overheid.nl/bag/id/woonplaats/1183
208;4;1184;Berkhout;2015-01-01;;http://bag.basisregistraties.overheid.nl/bag/id/woonplaats/1184
209;4;1185;De Goorn;2007-12-17;;http://bag.basisregistraties.overheid.nl/bag/id/woonplaats/1185
210;4;1186;Hensbroek;2007-12-17;;http://bag.basisregistraties.overheid.nl/bag/id/woonplaats/1186
211;4;1187;Obdam;2007-12-17;;http://bag.basisregistraties.overheid.nl/bag/id/woonplaats/1187
212;4;1188;Oudendijk;2007-12-17;;http://bag.basisregistraties.overheid.nl/bag/id/woonplaats/1188
213;4;1189;Scharwoude;2015-01-01;;http://bag.basisregistraties.overheid.nl/bag/id/woonplaats/1189
214;4;1190;Spierdijk;2007-12-17;;http://bag.basisregistraties.overheid.nl/bag/id/woonplaats/1190
215;4;1191;Ursem;2011-03-08;;http://bag.basisregistraties.overheid.nl/bag/id/woonplaats/1191
216;4;1192;Zuidermeer;2007-12-17;;http://bag.basisregistraties.overheid.nl/bag/id/woonplaats/1192
217;4;1193;Aalten;2007-12-18;;http://bag.basisregistraties.overheid.nl/bag/id/woonplaats/1193
218;4;1194;Bredevoort;2007-12-18;;http://bag.basisregistraties.overheid.nl/bag/id/woonplaats/1194
219;4;1195;De Heurne;2007-12-18;;http://bag.basisregistraties.overheid.nl/bag/id/woonplaats/1195
220;4;1196;Dinxperlo;2007-12-18;;http://bag.basisregistraties.overheid.nl/bag/id/woonplaats/1196
221;4;1198;Lekkum;2007-11-07;;http://bag.basisregistraties.overheid.nl/bag/id/woonplaats/1198
222;4;1199;Miedum;2007-11-07;;http://bag.basisregistraties.overheid.nl/bag/id/woonplaats/1199
223;4;1200;Snakkerburen;2007-11-07;;http://bag.basisregistraties.overheid.nl/bag/id/woonplaats/1200
224;4;1202;Hempens;2015-07-21;;http://bag.basisregistraties.overheid.nl/bag/id/woonplaats/1202
225;4;1203;Teerns;2007-11-07;;http://bag.basisregistraties.overheid.nl/bag/id/woonplaats/1203
226;4;1204;Swichum;2015-07-21;;http://bag.basisregistraties.overheid.nl/bag/id/woonplaats/1204
227;4;1206;Wytgaard;2007-11-07;;http://bag.basisregistraties.overheid.nl/bag/id/woonplaats/1206
228;4;1207;Oirschot;2010-06-10;;http://bag.basisregistraties.overheid.nl/bag/id/woonplaats/1207
229;4;1208;Oost West en Middelbeers;2010-06-10;;http://bag.basisregistraties.overheid.nl/bag/id/woonplaats/1208
230;4;1209;Oostvoorne;2007-09-04;;http://bag.basisregistraties.overheid.nl/bag/id/woonplaats/1209
231;4;1210;Rockanje;2007-09-04;;http://bag.basisregistraties.overheid.nl/bag/id/woonplaats/1210
232;4;1211;Tinte;2007-09-04;;http://bag.basisregistraties.overheid.nl/bag/id/woonplaats/1211
233;4;1212;Moerkapelle;2008-07-01;;http://bag.basisregistraties.overheid.nl/bag/id/woonplaats/1212
234;4;1213;Zevenhuizen;2008-07-01;;http://bag.basisregistraties.overheid.nl/bag/id/woonplaats/1213
235;4;1214;Beugen;2007-03-29;;http://bag.basisregistraties.overheid.nl/bag/id/woonplaats/1214
236;4;1215;Boxmeer;2007-03-29;;http://bag.basisregistraties.overheid.nl/bag/id/woonplaats/1215
237;4;1216;Groeningen;2007-03-29;;http://bag.basisregistraties.overheid.nl/bag/id/woonplaats/1216
238;4;1217;Holthees;2007-03-29;;http://bag.basisregistraties.overheid.nl/bag/id/woonplaats/1217
239;4;1218;Maashees;2007-03-29;;http://bag.basisregistraties.overheid.nl/bag/id/woonplaats/1218
240;4;1219;Oeffelt;2007-03-29;;http://bag.basisregistraties.overheid.nl/bag/id/woonplaats/1219
241;4;1220;Overloon;2007-03-29;;http://bag.basisregistraties.overheid.nl/bag/id/woonplaats/1220
242;4;1221;Rijkevoort;2007-03-29;;http://bag.basisregistraties.overheid.nl/bag/id/woonplaats/1221
243;4;1222;Sambeek;2007-03-29;;http://bag.basisregistraties.overheid.nl/bag/id/woonplaats/1222
244;4;1223;Vierlingsbeek;2007-03-29;;http://bag.basisregistraties.overheid.nl/bag/id/woonplaats/1223
245;4;1224;Vortum-Mullem;2007-03-29;;http://bag.basisregistraties.overheid.nl/bag/id/woonplaats/1224
246;4;1225;Gulpen;2008-01-15;;http://bag.basisregistraties.overheid.nl/bag/id/woonplaats/1225
247;4;1226;Ingber;2008-01-15;;http://bag.basisregistraties.overheid.nl/bag/id/woonplaats/1226
248;4;1227;Reijmerstok;2008-01-15;;http://bag.basisregistraties.overheid.nl/bag/id/woonplaats/1227
249;4;1228;Heijenrath;2008-01-15;;http://bag.basisregistraties.overheid.nl/bag/id/woonplaats/1228
250;4;1229;Slenaken;2008-01-15;;http://bag.basisregistraties.overheid.nl/bag/id/woonplaats/1229
251;4;1230;Beutenaken;2008-01-15;;http://bag.basisregistraties.overheid.nl/bag/id/woonplaats/1230
252;4;1231;Mechelen;2008-01-15;;http://bag.basisregistraties.overheid.nl/bag/id/woonplaats/1231
253;4;1232;Epen;2008-01-15;;http://bag.basisregistraties.overheid.nl/bag/id/woonplaats/1232
254;4;1233;Wittem;2008-01-15;;http://bag.basisregistraties.overheid.nl/bag/id/woonplaats/1233
255;4;1234;Eys;2008-01-15;;http://bag.basisregistraties.overheid.nl/bag/id/woonplaats/1234
256;4;1235;Elkenrade;2008-01-15;;http://bag.basisregistraties.overheid.nl/bag/id/woonplaats/1235
257;4;1236;Wijlre;2008-01-15;;http://bag.basisregistraties.overheid.nl/bag/id/woonplaats/1236
258;4;1237;Dalfsen;2007-09-25;;http://bag.basisregistraties.overheid.nl/bag/id/woonplaats/1237
259;4;1238;Lemelerveld;2007-09-25;;http://bag.basisregistraties.overheid.nl/bag/id/woonplaats/1238
260;4;1239;Nieuwleusen;2007-09-25;;http://bag.basisregistraties.overheid.nl/bag/id/woonplaats/1239
261;4;1240;Veendam;2008-06-24;;http://bag.basisregistraties.overheid.nl/bag/id/woonplaats/1240
262;4;1241;Wildervank;2008-06-24;;http://bag.basisregistraties.overheid.nl/bag/id/woonplaats/1241
263;4;1242;Borgercompagnie;2008-06-24;;http://bag.basisregistraties.overheid.nl/bag/id/woonplaats/1242
264;4;1243;Heiloo;2008-04-09;;http://bag.basisregistraties.overheid.nl/bag/id/woonplaats/1243
265;4;1244;Moordrecht;2007-09-04;;http://bag.basisregistraties.overheid.nl/bag/id/woonplaats/1244
266;4;1245;'s-Gravenhage;2017-07-27;;http://bag.basisregistraties.overheid.nl/bag/id/woonplaats/1245
267;4;1246;Oudenbosch;2008-07-03;;http://bag.basisregistraties.overheid.nl/bag/id/woonplaats/1246
